ID;LATITUDE;LONGITUDE;STRATEGY;SECTOR;NOTE
368;43.773445;-0.045243;-1;-1;
369;43.773457;-0.04523;-1;-1;
370;43.773468;-0.045216;-1;-1;
371;43.773476;-0.045202;-1;-1;
372;43.773491;-0.04518;-1;-1;
373;43.773499;-0.045166;-1;-1;
374;43.77351;-0.045151;-1;-1;
375;43.773518;-0.045137;-1;-1;
376;43.773533;-0.045114;-1;-1;
377;43.77354;-0.045099;-1;-1;
378;43.773548;-0.045083;-1;-1;
379;43.77356;-0.045068;-1;-1;
380;43.773567;-0.045052;-1;-1;
381;43.773579;-0.045028;-1;-1;
382;43.77359;-0.045011;-1;-1;
383;43.773598;-0.044995;-1;-1;
384;43.773605;-0.044978;-1;-1;
385;43.773617;-0.044953;-1;-1;
386;43.773624;-0.044936;-1;-1;
387;43.773636;-0.044919;-1;-1;
388;43.773643;-0.044901;-1;-1;
389;43.773651;-0.044884;-1;-1;
390;43.773663;-0.044858;-1;-1;
391;43.77367;-0.04484;-1;-1;
392;43.773678;-0.044822;-1;-1;
393;43.773685;-0.044804;-1;-1;
394;43.773693;-0.044786;-1;-1;
395;43.773701;-0.044768;-1;-1;
396;43.773708;-0.04475;-1;-1;
397;43.773716;-0.044731;-1;-1;
398;43.773724;-0.044713;-1;-1;
399;43.773735;-0.044685;-1;-1;
400;43.773743;-0.044666;-1;-1;
401;43.77375;-0.044647;-1;-1;
402;43.773758;-0.044628;-1;-1;
403;43.773766;-0.044609;-1;-1;
404;43.773773;-0.04459;-1;-1;
405;43.773781;-0.044571;-1;-1;
406;43.773788;-0.044551;-1;-1;
407;43.773796;-0.044532;-1;-1;
408;43.7738;-0.044512;-1;-1;
409;43.773808;-0.044492;-1;-1;
410;43.773815;-0.044472;-1;-1;
411;43.773823;-0.044452;-1;-1;
412;43.77383;-0.044432;-1;-1;
413;43.773838;-0.044412;-1;-1;
414;43.773846;-0.044381;-1;-1;
415;43.773853;-0.04436;-1;-1;
416;43.773861;-0.04434;-1;-1;
417;43.773869;-0.044319;-1;-1;
418;43.773872;-0.044298;-1;-1;
419;43.77388;-0.044277;-1;-1;
420;43.773888;-0.044256;-1;-1;
421;43.773895;-0.044235;-1;-1;
422;43.773899;-0.044213;-1;-1;
423;43.773907;-0.044192;-1;-1;
424;43.773914;-0.044171;-1;-1;
425;43.773918;-0.044149;-1;-1;
426;43.773926;-0.044128;-1;-1;
427;43.77393;-0.044106;-1;-1;
428;43.773937;-0.044073;-1;-1;
429;43.773945;-0.04405;-1;-1;
430;43.773949;-0.044028;-1;-1;
431;43.773952;-0.044005;-1;-1;
432;43.773956;-0.043983;-1;-1;
433;43.77396;-0.04396;-1;-1;
434;43.77396;-0.043937;-1;-1;
435;43.773964;-0.043914;-1;-1;
436;43.773964;-0.043891;-1;-1;
437;43.773964;-0.043868;-1;-1;
438;43.773964;-0.043845;-1;-1;
439;43.773964;-0.043822;-1;-1;
440;43.773964;-0.043799;-1;-1;
441;43.77396;-0.043777;-1;-1;
442;43.773956;-0.043754;-1;-1;
443;43.773952;-0.043721;-1;-1;
444;43.773949;-0.043699;-1;-1;
445;43.773941;-0.043678;-1;-1;
446;43.773937;-0.043657;-1;-1;
447;43.773926;-0.043627;-1;-1;
448;43.773918;-0.043608;-1;-1;
449;43.773907;-0.043589;-1;-1;
450;43.773899;-0.043572;-1;-1;
451;43.773888;-0.043555;-1;-1;
452;43.773876;-0.043539;-1;-1;
453;43.773865;-0.043524;-1;-1;
454;43.773853;-0.04351;-1;-1;
455;43.773838;-0.043497;-1;-1;
456;43.773827;-0.043484;-1;-1;
457;43.773811;-0.043472;-1;-1;
458;43.7738;-0.043461;-1;-1;
459;43.773785;-0.043451;-1;-1;
460;43.773769;-0.043441;-1;-1;
461;43.773754;-0.043433;-1;-1;
462;43.773735;-0.043422;-1;-1;
463;43.77372;-0.043416;-1;-1;
464;43.773705;-0.043411;-1;-1;
465;43.773689;-0.043406;-1;-1;
466;43.77367;-0.043403;-1;-1;
467;43.773655;-0.043401;-1;-1;
468;43.77364;-0.0434;-1;-1;
469;43.773624;-0.043399;-1;-1;
470;43.773609;-0.0434;-1;-1;
471;43.773586;-0.043402;-1;-1;
472;43.773571;-0.043405;-1;-1;
473;43.773556;-0.043409;-1;-1;
474;43.77354;-0.043414;-1;-1;
475;43.773525;-0.043422;-1;-1;
476;43.773506;-0.043435;-1;-1;
477;43.773495;-0.043445;-1;-1;
478;43.773483;-0.043457;-1;-1;
479;43.773468;-0.043469;-1;-1;
480;43.773453;-0.043488;-1;-1;
481;43.773445;-0.043502;-1;-1;
482;43.773434;-0.043516;-1;-1;
483;43.773426;-0.043531;-1;-1;
484;43.773415;-0.043547;-1;-1;
485;43.773403;-0.04357;-1;-1;
486;43.773399;-0.043586;-1;-1;
487;43.773392;-0.043603;-1;-1;
488;43.773388;-0.04362;-1;-1;
489;43.77338;-0.043644;-1;-1;
490;43.773376;-0.043661;-1;-1;
491;43.773373;-0.043678;-1;-1;
492;43.773369;-0.043695;-1;-1;
493;43.773365;-0.043711;-1;-1;
494;43.773365;-0.043736;-1;-1;
495;43.773361;-0.043753;-1;-1;
496;43.773361;-0.043769;-1;-1;
497;43.773361;-0.043785;-1;-1;
498;43.773357;-0.043808;-1;-1;
499;43.773357;-0.043824;-1;-1;
500;43.773357;-0.043839;-1;-1;
501;43.773354;-0.043854;-1;-1;
502;43.773354;-0.04387;-1;-1;
503;43.773354;-0.043893;-1;-1;
504;43.773354;-0.043908;-1;-1;
505;43.77335;-0.043923;-1;-1;
506;43.77335;-0.043939;-1;-1;
507;43.77335;-0.043961;-1;-1;
508;43.773346;-0.043977;-1;-1;
509;43.773346;-0.043992;-1;-1;
510;43.773346;-0.044007;-1;-1;
511;43.773342;-0.044022;-1;-1;
512;43.773342;-0.044038;-1;-1;
513;43.773338;-0.044053;-1;-1;
514;43.773338;-0.044068;-1;-1;
515;43.773338;-0.044084;-1;-1;
516;43.773335;-0.0441;-1;-1;
517;43.773335;-0.044115;-1;-1;
518;43.773331;-0.044131;-1;-1;
519;43.773331;-0.044147;-1;-1;
520;43.773331;-0.044163;-1;-1;
521;43.773327;-0.044179;-1;-1;
522;43.773327;-0.044195;-1;-1;
523;43.773327;-0.044212;-1;-1;
524;43.773323;-0.044228;-1;-1;
525;43.773323;-0.044245;-1;-1;
526;43.773323;-0.044261;-1;-1;
527;43.773319;-0.044287;-1;-1;
528;43.773319;-0.044304;-1;-1;
529;43.773315;-0.044321;-1;-1;
530;43.773315;-0.044338;-1;-1;
531;43.773312;-0.044364;-1;-1;
532;43.773308;-0.044382;-1;-1;
533;43.773304;-0.044399;-1;-1;
534;43.7733;-0.044417;-1;-1;
535;43.7733;-0.044435;-1;-1;
536;43.773293;-0.044462;-1;-1;
